proof_order_index,module,target,input_order,semantic_family,proof_tier,proof_tier_reason,generated_target_dependencies,cycle_or_unresolved_dependencies,bottom_up_rationale
167,vec,alloc::vec::Vec::pop,167,vec-sequence-mutation,2,depends on other generated targets,['alloc::vec::Vec::as_ptr'],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
168,vec,alloc::vec::Vec::push,168,vec-sequence-mutation,2,depends on other generated targets,['alloc::vec::Vec::push_mut'],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
169,vec,alloc::vec::Vec::remove,169,vec-sequence-mutation,0,no generated-target callees or detected hard boundary,[],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
170,vec,alloc::vec::Vec::reserve,170,vec-capacity-allocation-state,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
171,vec,alloc::vec::Vec::reserve_exact,171,vec-capacity-allocation-state,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
172,vec,alloc::vec::Vec::resize,172,vec-sequence-mutation,0,no generated-target callees or detected hard boundary,[],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
173,vec,alloc::vec::Vec::shrink_to,173,vec-capacity-allocation-state,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
174,vec,alloc::vec::Vec::shrink_to_fit,174,vec-capacity-allocation-state,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
175,vec,alloc::vec::Vec::split_off,175,vec-sequence-mutation,2,depends on other generated targets,"['alloc::vec::Vec::as_ptr', 'alloc::vec::Vec::set_len']",[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
176,vec,alloc::vec::Vec::swap_remove,176,vec-sequence-mutation,2,depends on other generated targets,"['alloc::vec::Vec::as_mut_ptr', 'alloc::vec::Vec::as_ptr', 'alloc::vec::Vec::set_len']",[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
177,vec,alloc::vec::Vec::truncate,177,vec-sequence-mutation,2,depends on other generated targets,['alloc::vec::Vec::as_mut_ptr'],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
178,vec,alloc::vec::Vec::try_reserve,178,vec-capacity-allocation-state,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
179,vec,alloc::vec::Vec::try_reserve_exact,179,vec-capacity-allocation-state,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
180,vec,alloc::vec::Vec::with_capacity,180,vec-capacity-allocation-state,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
