canonical_target,display_path,origin_path,declaration_id,source_location,copied_source_path,original_source_path,kind,signature,generic_bounds,safety,stability,since,constness,abi,alias_approximate,has_approximate_alias,existing_vstd_status,existing_vstd_provenance,planned_spec_status,semantic_family,source_observable_inputs,source_observable_outputs,source_observable_mutations,required_shared_model_helper,decisive_validation_command,final_contract_or_justified_no_spec_status,counting_basis
core::slice::assume_init_mut,core::slice::<[T]>::assume_init_mut,core::slice::assume_init_mut,core:61038,core/src/mem/maybe_uninit.rs:1528,not-copied: outside core/src/slice/** source authority copy,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/core/src/mem/maybe_uninit.rs,primitive_method,pub const unsafe fn assume_init_mut(&mut self) -> &mut [T],none,unsafe,stable,1.93.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,maybe-uninit-slice-storage,&mut self,&mut [T],may mutate receiver slice contents; inventory requires old/final frame in generation phase,MaybeUninit initialization/raw-storage view plus old/final write-frame helper,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::assume_init_ref,core::slice::<[T]>::assume_init_ref,core::slice::assume_init_ref,core:61037,core/src/mem/maybe_uninit.rs:1509,not-copied: outside core/src/slice/** source authority copy,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/core/src/mem/maybe_uninit.rs,primitive_method,pub const unsafe fn assume_init_ref(&self) -> &[T],none,unsafe,stable,1.93.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,maybe-uninit-slice-storage,&self,&[T],none; observational or constructor result only,MaybeUninit initialization/raw-storage view plus old/final write-frame helper,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::binary_search,core::slice::<[T]>::binary_search,core::slice::binary_search,core:61097,core/src/slice/mod.rs:2925,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,"pub fn binary_search(&self, x: &T) -> Result<usize, usize> where T: Ord,","T: Ord,",safe,stable,1.0.0,non-const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,search-prefix-suffix-ordering,"&self, x: &T","Result<usize, usize>",none; observational or constructor result only,"Seq membership, prefix/suffix/subrange, sortedness, and predicate observation helpers",python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::binary_search_by,core::slice::<[T]>::binary_search_by,core::slice::binary_search_by,core:61106,core/src/slice/mod.rs:2976,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,"pub fn binary_search_by<'a, F>(&'a self, mut f: F) -> Result<usize, usize> where F: FnMut(&'a T) -> Ordering,","<'a, F> F: FnMut(&'a T) -> Ordering,",safe,stable,1.0.0,non-const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,search-prefix-suffix-ordering,"&'a self, mut f: F","Result<usize, usize>",none; observational or constructor result only,"Seq membership, prefix/suffix/subrange, sortedness, and predicate observation helpers",python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::binary_search_by_key,core::slice::<[T]>::binary_search_by_key,core::slice::binary_search_by_key,core:61107,core/src/slice/mod.rs:3077,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,"pub fn binary_search_by_key<'a, B, F>(&'a self, b: &B, mut f: F) -> Result<usize, usize> where F: FnMut(&'a T) -> B, B: Ord,","<'a, B, F> F: FnMut(&'a T) -> B, B: Ord,",safe,stable,1.10.0,non-const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,search-prefix-suffix-ordering,"&'a self, b: &B, mut f: F","Result<usize, usize>",none; observational or constructor result only,"Seq membership, prefix/suffix/subrange, sortedness, and predicate observation helpers",python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::chunk_by,core::slice::<[T]>::chunk_by,core::slice::chunk_by,core:33749,core/src/slice/mod.rs:1867,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,"pub const fn chunk_by<F>(&self, pred: F) -> ChunkBy<'_, T, F> where F: FnMut(&T, &T) -> bool,","<F> F: FnMut(&T, &T) -> bool,",safe,stable,1.77.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,iterator-splitting-and-chunking,"&self, pred: F","ChunkBy<'_, T, F>",none; observational or constructor result only,Seq subrange/chunk partition and iterator remaining-sequence helpers,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::chunk_by_mut,core::slice::<[T]>::chunk_by_mut,core::slice::chunk_by_mut,core:33761,core/src/slice/mod.rs:1909,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,"pub const fn chunk_by_mut<F>(&mut self, pred: F) -> ChunkByMut<'_, T, F> where F: FnMut(&T, &T) -> bool,","<F> F: FnMut(&T, &T) -> bool,",safe,stable,1.77.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,iterator-splitting-and-chunking,"&mut self, pred: F","ChunkByMut<'_, T, F>",may mutate receiver slice contents; inventory requires old/final frame in generation phase,Seq subrange/chunk partition and iterator remaining-sequence helpers,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::chunks,core::slice::<[T]>::chunks,core::slice::chunks,core:33631,core/src/slice/mod.rs:1158,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,"pub const fn chunks(&self, chunk_size: usize) -> Chunks<'_, T>",none,safe,stable,1.0.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,iterator-splitting-and-chunking,"&self, chunk_size: usize","Chunks<'_, T>",none; observational or constructor result only,Seq subrange/chunk partition and iterator remaining-sequence helpers,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::chunks_exact,core::slice::<[T]>::chunks_exact,core::slice::chunks_exact,core:33657,core/src/slice/mod.rs:1245,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,"pub const fn chunks_exact(&self, chunk_size: usize) -> ChunksExact<'_, T>",none,safe,stable,1.31.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,iterator-splitting-and-chunking,"&self, chunk_size: usize","ChunksExact<'_, T>",none; observational or constructor result only,Seq subrange/chunk partition and iterator remaining-sequence helpers,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::chunks_exact_mut,core::slice::<[T]>::chunks_exact_mut,core::slice::chunks_exact_mut,core:33673,core/src/slice/mod.rs:1293,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,"pub const fn chunks_exact_mut(&mut self, chunk_size: usize) -> ChunksExactMut<'_, T>",none,safe,stable,1.31.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,iterator-splitting-and-chunking,"&mut self, chunk_size: usize","ChunksExactMut<'_, T>",may mutate receiver slice contents; inventory requires old/final frame in generation phase,Seq subrange/chunk partition and iterator remaining-sequence helpers,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::chunks_mut,core::slice::<[T]>::chunks_mut,core::slice::chunks_mut,core:33644,core/src/slice/mod.rs:1202,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,"pub const fn chunks_mut(&mut self, chunk_size: usize) -> ChunksMut<'_, T>",none,safe,stable,1.0.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,iterator-splitting-and-chunking,"&mut self, chunk_size: usize","ChunksMut<'_, T>",may mutate receiver slice contents; inventory requires old/final frame in generation phase,Seq subrange/chunk partition and iterator remaining-sequence helpers,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::clone_from_slice,core::slice::<[T]>::clone_from_slice,core::slice::clone_from_slice,core:10943,core/src/slice/mod.rs:4260,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,"pub const fn clone_from_slice(&mut self, src: &[T]) where T: [const] Clone + [const] Destruct,","T: [const] Clone + [const] Destruct,",safe,stable,1.7.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,mutation-frame-and-permutation,"&mut self, src: &[T]",(),may mutate receiver slice contents; inventory requires old/final frame in generation phase,"old/final Seq update, frame, permutation, and disjointness helpers",python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::contains,core::slice::<[T]>::contains,core::slice::contains,core:61098,core/src/slice/mod.rs:2594,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,"pub fn contains(&self, x: &T) -> bool where T: PartialEq,","T: PartialEq,",safe,stable,1.0.0,non-const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,search-prefix-suffix-ordering,"&self, x: &T",bool,none; observational or constructor result only,"Seq membership, prefix/suffix/subrange, sortedness, and predicate observation helpers",python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::copy_from_slice,core::slice::<[T]>::copy_from_slice,core::slice::copy_from_slice,core:61028,core/src/slice/mod.rs:4326,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,"pub const fn copy_from_slice(&mut self, src: &[T]) where T: Copy,","T: Copy,",safe,stable,1.9.0,const,Rust,False,False,existing-vstd,assume_specification:vstd-baseline/std_specs/slice.rs:213:<[T]>::copy_from_slice,integrate-existing-vstd-contract,existing-vstd-baseline,"&mut self, src: &[T]",(),may mutate receiver slice contents; inventory requires old/final frame in generation phase,preserve exact vstd Seq/View/subrange/update contract and target binding,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,existing-vstd-contract-integrated-and-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::copy_within,core::slice::<[T]>::copy_within,core::slice::copy_within,core:61128,core/src/slice/mod.rs:4361,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,"pub fn copy_within<R: RangeBounds<usize>>(&mut self, src: R, dest: usize) where T: Copy,","<R: RangeBounds<usize>> T: Copy,",safe,stable,1.37.0,non-const,Rust,False,False,existing-vstd,assume_specification:vstd-baseline/std_specs/slice.rs:243:<[T]>::copy_within::<R>,integrate-existing-vstd-contract,existing-vstd-baseline,"&mut self, src: R, dest: usize",(),may mutate receiver slice contents; inventory requires old/final frame in generation phase,preserve exact vstd Seq/View/subrange/update contract and target binding,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,existing-vstd-contract-integrated-and-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::element_offset,core::slice::<[T]>::element_offset,core::slice::element_offset,core:61143,core/src/slice/mod.rs:5267,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,"pub fn element_offset(&self, element: &T) -> Option<usize>",none,safe,stable,1.94.0,non-const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,raw-pointer-and-provenance,"&self, element: &T",Option<usize>,none; observational or constructor result only,"slice Seq/View plus pointer provenance, length, alignment, and unsafe-domain helpers",python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::ends_with,core::slice::<[T]>::ends_with,core::slice::ends_with,core:61100,core/src/slice/mod.rs:2655,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,"pub fn ends_with(&self, needle: &[T]) -> bool where T: PartialEq,","T: PartialEq,",safe,stable,1.0.0,non-const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,search-prefix-suffix-ordering,"&self, needle: &[T]",bool,none; observational or constructor result only,"Seq membership, prefix/suffix/subrange, sortedness, and predicate observation helpers",python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::eq_ignore_ascii_case,core::slice::<[T]>::eq_ignore_ascii_case,core::slice::eq_ignore_ascii_case,core:61046,core/src/slice/ascii.rs:60,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/ascii.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/ascii.rs,primitive_method,"pub const fn eq_ignore_ascii_case(&self, other: &[u8]) -> bool",none,safe,stable,1.23.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,ascii-byte-sequence,"&self, other: &[u8]",bool,none; observational or constructor result only,"Seq<u8> ASCII classification, case-map, and trim/subrange helpers",python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::escape_ascii,core::slice::<[T]>::escape_ascii,core::slice::escape_ascii,core:33425,core/src/slice/ascii.rs:218,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/ascii.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/ascii.rs,primitive_method,pub fn escape_ascii(&self) -> EscapeAscii<'_>,none,safe,stable,1.60.0,non-const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,ascii-byte-sequence,&self,EscapeAscii<'_>,none; observational or constructor result only,"Seq<u8> ASCII classification, case-map, and trim/subrange helpers",python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::fill,core::slice::<[T]>::fill,core::slice::fill,core:61030,core/src/slice/mod.rs:4172,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,"pub fn fill(&mut self, value: T) where T: Clone,","T: Clone,",safe,stable,1.50.0,non-const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,mutation-frame-and-permutation,"&mut self, value: T",(),may mutate receiver slice contents; inventory requires old/final frame in generation phase,"old/final Seq update, frame, permutation, and disjointness helpers",python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::fill_with,core::slice::<[T]>::fill_with,core::slice::fill_with,core:61127,core/src/slice/mod.rs:4196,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,"pub fn fill_with<F>(&mut self, mut f: F) where F: FnMut() -> T,","<F> F: FnMut() -> T,",safe,stable,1.51.0,non-const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,mutation-frame-and-permutation,"&mut self, mut f: F","T,",may mutate receiver slice contents; inventory requires old/final frame in generation phase,"old/final Seq update, frame, permutation, and disjointness helpers",python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::first,core::slice::<[T]>::first,core::slice::first,core:29991,core/src/slice/mod.rs:155,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,pub const fn first(&self) -> Option<&T>,none,safe,stable,1.0.0,const,Rust,False,False,existing-vstd,assume_specification:vstd-baseline/std_specs/slice.rs:166:<[T]>::first,integrate-existing-vstd-contract,existing-vstd-baseline,&self,Option<&T>,none; observational or constructor result only,preserve exact vstd Seq/View/subrange/update contract and target binding,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,existing-vstd-contract-integrated-and-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::first_chunk,core::slice::<[T]>::first_chunk,core::slice::first_chunk,core:61064,core/src/slice/mod.rs:327,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,pub const fn first_chunk<const N: usize>(&self) -> Option<&[T; N]>,<const N: usize>,safe,stable,1.77.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,iterator-splitting-and-chunking,&self,Option<&[T; N]>,none; observational or constructor result only,Seq subrange/chunk partition and iterator remaining-sequence helpers,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::first_chunk_mut,core::slice::<[T]>::first_chunk_mut,core::slice::first_chunk_mut,core:61065,core/src/slice/mod.rs:357,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,pub const fn first_chunk_mut<const N: usize>(&mut self) -> Option<&mut [T; N]>,<const N: usize>,safe,stable,1.77.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,iterator-splitting-and-chunking,&mut self,Option<&mut [T; N]>,may mutate receiver slice contents; inventory requires old/final frame in generation phase,Seq subrange/chunk partition and iterator remaining-sequence helpers,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::first_mut,core::slice::<[T]>::first_mut,core::slice::first_mut,core:29993,core/src/slice/mod.rs:178,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,pub const fn first_mut(&mut self) -> Option<&mut T>,none,safe,stable,1.0.0,const,Rust,False,False,existing-vstd,assume_specification:vstd-baseline/std_specs/slice.rs:179:<[T]>::first_mut,integrate-existing-vstd-contract,existing-vstd-baseline,&mut self,Option<&mut T>,may mutate receiver slice contents; inventory requires old/final frame in generation phase,preserve exact vstd Seq/View/subrange/update contract and target binding,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,existing-vstd-contract-integrated-and-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
