target,semantic_family,direct_shared_helpers,reachable_shared_helpers,audited_shared_helpers,source-backed,law-constrained,irreducible-boundary-abstraction,catalog_shared_helpers_note
core::slice::split_off_mut,iterator-splitting-and-chunking,slice_split_off_partition,slice_split_off_partition,,,,,"Seq subrange/chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator remaining-sequence helpers"
core::slice::splitn,iterator-splitting-and-chunking,slice_predicate_split_view,fnmut_predicate_observed;slice_iterator_view;slice_iterator_well_formed;slice_predicate_split_view,fnmut_predicate_observed;slice_iterator_view,,slice_iterator_view,fnmut_predicate_observed,"Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers"
core::slice::splitn_mut,iterator-splitting-and-chunking,slice_predicate_split_view,fnmut_predicate_observed;slice_iterator_view;slice_iterator_well_formed;slice_predicate_split_view,fnmut_predicate_observed;slice_iterator_view,,slice_iterator_view,fnmut_predicate_observed,"Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers"
core::slice::starts_with,search-prefix-suffix-ordering,slice_is_prefix,partial_eq_observed;slice_is_prefix,partial_eq_observed,,partial_eq_observed,,partial_eq_observed bridge plus Seq membership/prefix/suffix helpers
core::slice::strip_circumfix,search-prefix-suffix-ordering,slice_pattern_view;slice_strip_circumfix_result,partial_eq_observed;slice_is_prefix;slice_is_suffix;slice_pattern_view;slice_strip_circumfix_result,partial_eq_observed;slice_pattern_view,,partial_eq_observed,slice_pattern_view,"Seq membership, prefix/suffix/subrange, sortedness, and predicate observation helpers"
core::slice::strip_prefix,search-prefix-suffix-ordering,slice_pattern_view;slice_strip_prefix_result,partial_eq_observed;slice_is_prefix;slice_pattern_view;slice_strip_prefix_result,partial_eq_observed;slice_pattern_view,,partial_eq_observed,slice_pattern_view,"Seq membership, prefix/suffix/subrange, sortedness, and predicate observation helpers"
core::slice::strip_suffix,search-prefix-suffix-ordering,slice_pattern_view;slice_strip_suffix_result,partial_eq_observed;slice_is_suffix;slice_pattern_view;slice_strip_suffix_result,partial_eq_observed;slice_pattern_view,,partial_eq_observed,slice_pattern_view,"Seq membership, prefix/suffix/subrange, sortedness, and predicate observation helpers"
core::slice::subslice_range,raw-pointer-and-provenance,slice_subslice_in_domain;slice_subslice_range_result,slice_subslice_in_domain;slice_subslice_range_result,slice_subslice_in_domain;slice_subslice_range_result,,,slice_subslice_in_domain;slice_subslice_range_result,"slice Seq/View plus pointer provenance, length, alignment, and unsafe-domain helpers"
core::slice::swap,mutation-frame-and-permutation,slice_swapped,slice_swapped,,,,,slice_swapped Seq update transformer over old/final slice views
core::slice::swap_with_slice,mutation-frame-and-permutation,,,,,,,old/final paired-slice frame relation
core::slice::trim_ascii,ascii-byte-sequence,ascii_trim_result,ascii_is_whitespace;ascii_trim_end_boundary;ascii_trim_end_index;ascii_trim_result;ascii_trim_start_boundary;ascii_trim_start_index,ascii_trim_end_index;ascii_trim_start_index,ascii_trim_end_index;ascii_trim_start_index,,,"Source-backed Seq<u8> ASCII classification, case-map, and trim boundary/subrange helpers; EscapeAscii byte expansion remains an iterator-formatting boundary"
core::slice::trim_ascii_end,ascii-byte-sequence,ascii_trim_end_result,ascii_is_whitespace;ascii_trim_end_boundary;ascii_trim_end_index;ascii_trim_end_result,ascii_trim_end_index,ascii_trim_end_index,,,"Source-backed Seq<u8> ASCII classification, case-map, and trim boundary/subrange helpers; EscapeAscii byte expansion remains an iterator-formatting boundary"
core::slice::trim_ascii_start,ascii-byte-sequence,ascii_trim_start_result,ascii_is_whitespace;ascii_trim_start_boundary;ascii_trim_start_index;ascii_trim_start_result,ascii_trim_start_index,ascii_trim_start_index,,,"Source-backed Seq<u8> ASCII classification, case-map, and trim boundary/subrange helpers; EscapeAscii byte expansion remains an iterator-formatting boundary"
core::slice::utf8_chunks,iterator-splitting-and-chunking,utf8_chunk_partition,slice_iterator_view;slice_iterator_well_formed;utf8_chunk_partition,slice_iterator_view,,slice_iterator_view,,"Seq subrange/chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator remaining-sequence helpers"
core::slice::windows,iterator-splitting-and-chunking,slice_iterator_view,slice_iterator_view,slice_iterator_view,,slice_iterator_view,,"Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers"
core::slice::write_clone_of_slice,maybe-uninit-slice-storage,maybe_uninit_seq_relation;maybe_uninit_written_from,maybe_uninit_seq_relation;maybe_uninit_written_from,maybe_uninit_seq_relation,,,maybe_uninit_seq_relation,MaybeUninit initialization/raw-storage view plus old/final write-frame helper
core::slice::write_copy_of_slice,maybe-uninit-slice-storage,maybe_uninit_seq_relation;maybe_uninit_written_from,maybe_uninit_seq_relation;maybe_uninit_written_from,maybe_uninit_seq_relation,,,maybe_uninit_seq_relation,MaybeUninit initialization/raw-storage view plus old/final write-frame helper
