target,safe_name,batch_result_present,summary_artifact_present,summary_artifact_valid,batch_mismatched_fields,summary_mismatched_fields,field_mismatch_count,validation_passed,summary_artifact_path
core::io::Result::as_ref,core__io__Result__as_ref,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__as_ref/summary.json
core::io::Result::cloned,core__io__Result__cloned,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__cloned/summary.json
core::io::Result::copied,core__io__Result__copied,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__copied/summary.json
core::io::Result::err,core__io__Result__err,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__err/summary.json
core::io::Result::expect,core__io__Result__expect,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__expect/summary.json
core::io::Result::expect_err,core__io__Result__expect_err,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__expect_err/summary.json
core::io::Result::flatten,core__io__Result__flatten,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__flatten/summary.json
core::io::Result::inspect,core__io__Result__inspect,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__inspect/summary.json
core::io::Result::inspect_err,core__io__Result__inspect_err,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__inspect_err/summary.json
core::io::Result::is_err,core__io__Result__is_err,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__is_err/summary.json
core::io::Result::is_err_and,core__io__Result__is_err_and,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__is_err_and/summary.json
core::io::Result::is_ok,core__io__Result__is_ok,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__is_ok/summary.json
core::io::Result::is_ok_and,core__io__Result__is_ok_and,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__is_ok_and/summary.json
core::io::Result::iter,core__io__Result__iter,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__iter/summary.json
core::io::Result::iter_mut,core__io__Result__iter_mut,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__iter_mut/summary.json
core::io::Result::map,core__io__Result__map,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__map/summary.json
core::io::Result::map_err,core__io__Result__map_err,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__map_err/summary.json
core::io::Result::map_or,core__io__Result__map_or,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__map_or/summary.json
core::io::Result::map_or_default,core__io__Result__map_or_default,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__map_or_default/summary.json
core::io::Result::map_or_else,core__io__Result__map_or_else,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__map_or_else/summary.json
core::io::Result::ok,core__io__Result__ok,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__ok/summary.json
core::io::Result::or,core__io__Result__or,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__or/summary.json
core::io::Result::or_else,core__io__Result__or_else,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__or_else/summary.json
core::io::Result::transpose,core__io__Result__transpose,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__transpose/summary.json
core::io::Result::unwrap,core__io__Result__unwrap,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__unwrap/summary.json
core::io::Result::unwrap_err,core__io__Result__unwrap_err,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__unwrap_err/summary.json
core::io::Result::unwrap_err_unchecked,core__io__Result__unwrap_err_unchecked,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__unwrap_err_unchecked/summary.json
core::io::Result::unwrap_or,core__io__Result__unwrap_or,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__unwrap_or/summary.json
core::io::Result::unwrap_or_default,core__io__Result__unwrap_or_default,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__unwrap_or_default/summary.json
core::io::Result::unwrap_or_else,core__io__Result__unwrap_or_else,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__unwrap_or_else/summary.json
core::io::Result::unwrap_unchecked,core__io__Result__unwrap_unchecked,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Result__unwrap_unchecked/summary.json
core::io::Seek::rewind,core__io__Seek__rewind,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Seek__rewind/summary.json
core::io::Seek::seek,core__io__Seek__seek,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Seek__seek/summary.json
core::io::Seek::seek_relative,core__io__Seek__seek_relative,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Seek__seek_relative/summary.json
core::io::Seek::stream_position,core__io__Seek__stream_position,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Seek__stream_position/summary.json
core::io::Take::get_mut,core__io__Take__get_mut,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Take__get_mut/summary.json
core::io::Take::get_ref,core__io__Take__get_ref,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Take__get_ref/summary.json
core::io::Take::into_inner,core__io__Take__into_inner,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Take__into_inner/summary.json
core::io::Take::limit,core__io__Take__limit,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Take__limit/summary.json
core::io::Take::set_limit,core__io__Take__set_limit,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__Take__set_limit/summary.json
core::io::empty,core__io__empty,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__empty/summary.json
core::io::repeat,core__io__repeat,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__repeat/summary.json
core::io::sink,core__io__sink,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__io__sink/summary.json
core::iter::DoubleEndedIterator::nth_back,core__iter__DoubleEndedIterator__nth_back,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__DoubleEndedIterator__nth_back/summary.json
core::iter::DoubleEndedIterator::rfind,core__iter__DoubleEndedIterator__rfind,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__DoubleEndedIterator__rfind/summary.json
core::iter::DoubleEndedIterator::rfold,core__iter__DoubleEndedIterator__rfold,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__DoubleEndedIterator__rfold/summary.json
core::iter::DoubleEndedIterator::try_rfold,core__iter__DoubleEndedIterator__try_rfold,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__DoubleEndedIterator__try_rfold/summary.json
core::iter::ExactSizeIterator::len,core__iter__ExactSizeIterator__len,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__ExactSizeIterator__len/summary.json
core::iter::Extend::extend,core__iter__Extend__extend,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Extend__extend/summary.json
core::iter::Iterator::by_ref,core__iter__Iterator__by_ref,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__by_ref/summary.json
core::iter::Iterator::chain,core__iter__Iterator__chain,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__chain/summary.json
core::iter::Iterator::cloned,core__iter__Iterator__cloned,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__cloned/summary.json
core::iter::Iterator::cmp,core__iter__Iterator__cmp,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__cmp/summary.json
core::iter::Iterator::copied,core__iter__Iterator__copied,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__copied/summary.json
core::iter::Iterator::count,core__iter__Iterator__count,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__count/summary.json
core::iter::Iterator::cycle,core__iter__Iterator__cycle,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__cycle/summary.json
core::iter::Iterator::enumerate,core__iter__Iterator__enumerate,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__enumerate/summary.json
core::iter::Iterator::eq,core__iter__Iterator__eq,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__eq/summary.json
core::iter::Iterator::filter,core__iter__Iterator__filter,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__filter/summary.json
core::iter::Iterator::filter_map,core__iter__Iterator__filter_map,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__filter_map/summary.json
core::iter::Iterator::find_map,core__iter__Iterator__find_map,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__find_map/summary.json
core::iter::Iterator::flat_map,core__iter__Iterator__flat_map,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__flat_map/summary.json
core::iter::Iterator::flatten,core__iter__Iterator__flatten,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__flatten/summary.json
core::iter::Iterator::fold,core__iter__Iterator__fold,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__fold/summary.json
core::iter::Iterator::for_each,core__iter__Iterator__for_each,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__for_each/summary.json
core::iter::Iterator::fuse,core__iter__Iterator__fuse,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__fuse/summary.json
core::iter::Iterator::ge,core__iter__Iterator__ge,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__ge/summary.json
core::iter::Iterator::gt,core__iter__Iterator__gt,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__gt/summary.json
core::iter::Iterator::inspect,core__iter__Iterator__inspect,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__inspect/summary.json
core::iter::Iterator::is_sorted,core__iter__Iterator__is_sorted,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__is_sorted/summary.json
core::iter::Iterator::is_sorted_by,core__iter__Iterator__is_sorted_by,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__is_sorted_by/summary.json
core::iter::Iterator::is_sorted_by_key,core__iter__Iterator__is_sorted_by_key,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__is_sorted_by_key/summary.json
core::iter::Iterator::last,core__iter__Iterator__last,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__last/summary.json
core::iter::Iterator::le,core__iter__Iterator__le,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__le/summary.json
core::iter::Iterator::lt,core__iter__Iterator__lt,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__lt/summary.json
core::iter::Iterator::map,core__iter__Iterator__map,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__map/summary.json
core::iter::Iterator::map_while,core__iter__Iterator__map_while,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__map_while/summary.json
core::iter::Iterator::max,core__iter__Iterator__max,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__max/summary.json
core::iter::Iterator::max_by,core__iter__Iterator__max_by,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__max_by/summary.json
core::iter::Iterator::max_by_key,core__iter__Iterator__max_by_key,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__max_by_key/summary.json
core::iter::Iterator::min,core__iter__Iterator__min,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__min/summary.json
core::iter::Iterator::min_by,core__iter__Iterator__min_by,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__min_by/summary.json
core::iter::Iterator::min_by_key,core__iter__Iterator__min_by_key,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__min_by_key/summary.json
core::iter::Iterator::ne,core__iter__Iterator__ne,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__ne/summary.json
core::iter::Iterator::nth,core__iter__Iterator__nth,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__nth/summary.json
core::iter::Iterator::partial_cmp,core__iter__Iterator__partial_cmp,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__partial_cmp/summary.json
core::iter::Iterator::partition,core__iter__Iterator__partition,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__partition/summary.json
core::iter::Iterator::peekable,core__iter__Iterator__peekable,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__peekable/summary.json
core::iter::Iterator::position,core__iter__Iterator__position,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__position/summary.json
core::iter::Iterator::product,core__iter__Iterator__product,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__product/summary.json
core::iter::Iterator::reduce,core__iter__Iterator__reduce,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__reduce/summary.json
core::iter::Iterator::rposition,core__iter__Iterator__rposition,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__rposition/summary.json
core::iter::Iterator::scan,core__iter__Iterator__scan,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__scan/summary.json
core::iter::Iterator::size_hint,core__iter__Iterator__size_hint,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__size_hint/summary.json
core::iter::Iterator::skip,core__iter__Iterator__skip,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__skip/summary.json
core::iter::Iterator::skip_while,core__iter__Iterator__skip_while,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__skip_while/summary.json
core::iter::Iterator::step_by,core__iter__Iterator__step_by,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__step_by/summary.json
core::iter::Iterator::sum,core__iter__Iterator__sum,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__sum/summary.json
core::iter::Iterator::take,core__iter__Iterator__take,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__take/summary.json
core::iter::Iterator::take_while,core__iter__Iterator__take_while,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__take_while/summary.json
core::iter::Iterator::try_fold,core__iter__Iterator__try_fold,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__try_fold/summary.json
core::iter::Iterator::try_for_each,core__iter__Iterator__try_for_each,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__try_for_each/summary.json
core::iter::Iterator::unzip,core__iter__Iterator__unzip,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__unzip/summary.json
core::iter::Iterator::zip,core__iter__Iterator__zip,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Iterator__zip/summary.json
core::iter::Peekable::next_if,core__iter__Peekable__next_if,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Peekable__next_if/summary.json
core::iter::Peekable::next_if_eq,core__iter__Peekable__next_if_eq,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Peekable__next_if_eq/summary.json
core::iter::Peekable::next_if_map,core__iter__Peekable__next_if_map,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Peekable__next_if_map/summary.json
core::iter::Peekable::next_if_map_mut,core__iter__Peekable__next_if_map_mut,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Peekable__next_if_map_mut/summary.json
core::iter::Peekable::peek,core__iter__Peekable__peek,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Peekable__peek/summary.json
core::iter::Peekable::peek_mut,core__iter__Peekable__peek_mut,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Peekable__peek_mut/summary.json
core::iter::Product::product,core__iter__Product__product,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Product__product/summary.json
core::iter::Sum::sum,core__iter__Sum__sum,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__Sum__sum/summary.json
core::iter::chain,core__iter__chain,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__chain/summary.json
core::iter::empty,core__iter__empty,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__empty/summary.json
core::iter::from_fn,core__iter__from_fn,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/core__iter__from_fn/summary.json
